created_time,recived_time,completed_time,num_of_detections,num_of_clasifications
1719663735.971838,1719663735.9642916,1719663736.6114442,3,2
1719663736.865316,1719663736.8572946,1719663737.5108004,3,2
1719663737.77999,1719663737.7719185,1719663738.4404676,3,2
1719663738.688997,1719663738.6819937,1719663739.3394072,3,2
1719663739.599049,1719663739.592032,1719663740.2215188,3,2
1719663740.476729,1719663740.4646914,1719663741.2991967,4,2
1719663741.542233,1719663741.5357227,1719663742.403159,4,2
1719663742.659402,1719663742.6524165,1719663743.4911761,4,2
1719663743.748005,1719663743.7413132,1719663744.386774,3,2
1719663744.657081,1719663744.646572,1719663745.3154657,3,2
1719663745.581447,1719663745.5741444,1719663746.2621975,3,2
1719663746.528426,1719663746.520424,1719663747.177506,3,2
1719663747.435679,1719663747.427659,1719663748.0877955,3,2
1719663748.344372,1719663748.3368573,1719663749.0512342,3,2
1719663749.319351,1719663749.310351,1719663750.2136884,4,2
1719663750.464335,1719663750.4568272,1719663751.0941677,3,2
1719663751.344435,1719663751.3369267,1719663752.0483136,3,2
1719663752.311487,1719663752.3014235,1719663753.0262933,3,2
1719663753.280463,1719663753.2689857,1719663753.976379,3,2
1719663754.235771,1719663754.2247505,1719663754.8773746,3,2
1719663755.135783,1719663755.127291,1719663755.7700784,3,2
1719663756.029246,1719663756.0207431,1719663756.8529515,4,2
1719663757.100287,1719663757.0927603,1719663757.7578259,3,2
1719663758.003326,1719663757.9944186,1719663758.6675,3,2
1719663758.929918,1719663758.9224129,1719663759.573099,3,2
1719663759.817624,1719663759.809619,1719663760.668691,4,2
1719663760.922563,1719663760.9158766,1719663761.5814052,3,2
1719663761.838204,1719663761.830424,1719663762.5024364,3,2
1719663762.752147,1719663762.7456338,1719663763.4267986,3,2
1719663763.676226,1719663763.6687145,1719663764.3144765,3,2
